Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc Y
0.01673095	0.06068854	-0.09122719	-0.0009216166	0.001385377	1.399914E-05	-2.104355E-05
0.03642653	0.06068854	-0.09122719	0	0	-1.399986E-05	2.104463E-05
0.05299405	0.06068854	-0.09122719	0	0	0	0
0.0708923	0.06068854	-0.09122719	0	0	0	0
0.08776221	0.06068854	-0.09122719	0	0	0	0
0.1040277	0.06068854	-0.09122719	0	0	0	0
0.1205949	0.06068854	-0.09122719	0	0	0	0
0.1373021	0.06066232	-0.0912466	-0.001569292	-0.001161696	-0.04716215	-0.03491259
0.1538105	0.06066232	-0.0912466	0	0	0.04724567	0.03497441
0.1702939	0.06066232	-0.0912466	0	0	0	0
0.1868602	0.05751544	-0.09369358	-0.1899563	-0.1477079	-5.747581	-4.469257
0.2038525	0.05751544	-0.09369358	0	0	5.660431	4.40149
0.2199949	0.05751544	-0.09369358	0	0	0	0
0.2365596	0.0279138	-0.1158787	-1.787026	-1.339299	-54.6372	-40.94825
0.2531276	0.0279138	-0.1158787	0	0	53.93542	40.4223
0.2696943	0.0279138	-0.1158787	0	0	0	0
0.2862591	-0.004289447	-0.1401394	-1.944082	-1.464596	-58.67779	-44.20556
0.3028274	-0.004289447	-0.1401394	0	0	58.67499	44.20345
0.3193929	-0.004289447	-0.1401394	0	0	0	0
0.3359596	-0.03159475	-0.1609305	-1.648201	-1.254988	-49.74609	-37.8781
0.3527818	-0.03159475	-0.1609305	0	0	49.36382	37.58703
0.3692771	-0.03159475	-0.1609305	0	0	0	0
0.3856595	-0.05069337	-0.1755315	-1.165802	-0.8912638	-35.45876	-27.10847
0.4022266	-0.05069337	-0.1755315	0	0	35.38144	27.04936
0.4187953	-0.05069337	-0.1755315	0	0	0	0
0.4353597	-0.05347528	-0.1776624	-0.1679454	-0.1286442	-5.06881	-3.882652
0.4519276	-0.05347528	-0.1776624	0	0	5.068933	3.882746
0.4688555	-0.05347528	-0.1776624	0	0	0	0
0.4850591	-0.05347528	-0.1776624	0	0	0	0
0.501627	-0.05347528	-0.1776624	0	0	0	0
0.5181938	-0.05347528	-0.1776624	0	0	0	0
0.5347597	-0.05347528	-0.1776624	0	0	0	0
0.5513268	-0.05347528	-0.1776624	0	0	0	0
0.5678931	-0.05347528	-0.1776624	0	0	0	0
0.5844591	-0.05347528	-0.1776624	0	0	0	0
0.6010266	-0.05347528	-0.1776624	0	0	0	0
0.6207979	-0.05347528	-0.1776624	0	0	0	0
0.634205	-0.05350152	-0.1776423	-0.001957241	0.00150044	-0.05899133	0.04522334
0.6507272	-0.05350152	-0.1776423	0	0	0.06539565	-0.05013295
0.6672935	-0.05350152	-0.1776423	0	0	0	0
0.6838594	-0.05310791	-0.1773004	0.02376048	0.02063739	0.7171404	0.6228791
0.7004265	-0.05310791	-0.1773004	0	0	-0.7171236	-0.6228646
0.7177559	-0.05310791	-0.1773004	0	0	0	0
0.7337483	-0.0524256	-0.1766972	0.04266475	0.03771799	1.280388	1.131933
0.7502838	-0.0524256	-0.1766972	0	0	-1.311637	-1.159559
0.766693	-0.0524256	-0.1766972	0	0	0	0
0.7832838	-0.05003715	-0.1747078	0.1439623	0.1199102	4.362488	3.633635
0.7998265	-0.05003715	-0.1747078	0	0	-4.344917	-3.619
0.8168389	-0.05003715	-0.1747078	0	0	0	0
0.8329596	-0.03580049	-0.1637672	0.8831306	0.678666	26.65404	20.48303
0.8495275	-0.03580049	-0.1637672	0	0	-27.01646	-20.76154
0.8663726	-0.03580049	-0.1637672	0	0	0	0
0.8828683	-0.005894668	-0.1408322	1.812946	1.390367	54.37627	41.70172
0.8997192	-0.005894668	-0.1408322	0	0	-54.36665	-41.69434
0.9157933	-0.005894668	-0.1408322	0	0	0	0
0.9327524	0.02893929	-0.1143311	2.053994	1.562643	62.1797	47.30525
0.9489268	0.02893929	-0.1143311	0	0	-61.99144	-47.16203
0.9657521	0.02893929	-0.1143311	0	0	0	0
0.9820595	0.05725315	-0.09272228	1.736263	1.325096	52.40336	39.99364
0.9986266	0.05725315	-0.09272228	0	0	-52.81496	-40.30777
1.015298	0.05725315	-0.09272228	0	0	0	0
1.03176	0.07276604	-0.0786972	0.9423811	0.8519993	28.44225	25.71441
1.048327	0.07276604	-0.0786972	0	0	-28.53238	-25.79589
1.065347	0.07276604	-0.0786972	0	0	0	0
1.081459	0.08341128	-0.06038268	0.6607043	1.136703	19.94139	34.30799
1.098027	0.08341128	-0.06038268	0	0	-20.21774	-34.78343
1.114881	0.08341128	-0.06038268	0	0	0	0
1.131381	0.0874344	-0.03538195	0.2438255	1.515196	7.310197	45.42749
1.147727	0.0874344	-0.03538195	0	0	-7.423272	-46.13018
1.167131	0.0874344	-0.03538195	0	0	0	0
1.180899	0.1001116	-0.01364582	0.9208054	1.578803	27.7587	47.59476
1.197912	0.1001116	-0.01364582	0	0	-29.91505	-51.29201
1.213994	0.1001116	-0.01364582	0	0	0	0
1.230559	0.1054495	-0.01022642	0.3222306	0.2064162	9.869997	6.322575
1.247465	0.1054495	-0.01022642	0	0	-9.627162	-6.167018
1.263979	0.1054495	-0.01022642	0	0	0	0
1.28026	0.1057097	-0.01067961	0.01598471	-0.02783715	0.4874155	-0.8488274
1.296828	0.1057097	-0.01067961	0	0	-0.4866248	0.8474504
1.313393	0.1057097	-0.01067961	0	0	0	0
1.32996	0.1056317	-0.01130285	-0.00471228	-0.03762016	-0.1422246	-1.13544
1.346526	0.1056317	-0.01130285	0	0	0.1422246	1.13544
1.363094	0.1056317	-0.01130285	0	0	0	0
1.37966	0.1053714	-0.0117562	-0.01570944	-0.02736604	-0.4741272	-0.8259355
1.396553	0.1053714	-0.0117562	0	0	0.4695055	0.8178844
1.412794	0.1053714	-0.0117562	0	0	0	0
1.42936	0.1052673	-0.01194511	-0.006284092	-0.01140392	-0.1915494	-0.34761
1.445926	0.1052673	-0.01194511	0	0	0.1896686	0.3441969
1.46262	0.1052673	-0.01194511	0	0	0	0
1.479123	0.1052673	-0.01209625	0	-0.009158083	0	-0.2758704
1.495627	0.1052673	-0.01209625	0	0	0	0.2774606
1.512653	0.1052673	-0.01209625	0	0	0	0
1.52876	0.107531	-0.01434526	0.1405328	-0.1396235	4.241412	-4.213966
1.545327	0.107531	-0.01434526	0	0	-4.301003	4.273172
1.562209	0.107531	-0.01434526	0	0	0	0
1.578696	0.1080512	-0.0147234	0.03155414	-0.0229361	0.9456173	-0.687351
1.595027	0.1080512	-0.0147234	0	0	-0.961497	0.6988937
1.611594	0.1080512	-0.0147234	0	0	0	0
1.62816	0.1080772	-0.0147423	0.00157009	-0.001141362	0.04738744	-0.03444786
1.644749	0.1080772	-0.0147423	0	0	-0.04735643	0.03442532
1.661293	0.1080772	-0.0147423	0	0	0	0
1.67786	0.1079992	-0.01479903	-0.004710133	-0.0034241	-0.1422529	-0.1034128
1.694427	0.1079992	-0.01479903	0	0	0.1421562	0.1033425
1.711279	0.1079992	-0.01479903	0	0	0	0
1.727559	0.1077911	-0.01498812	-0.01278201	-0.01161515	-0.3857882	-0.3505698
1.744318	0.1077911	-0.01498812	0	0	0.3868753	0.3515577
1.760693	0.1077911	-0.01498812	0	0	0	0
1.77726	0.1052934	-0.01680396	-0.1507654	-0.1096053	-4.576702	-3.327226
1.793827	0.1052934	-0.01680396	0	0	4.550241	3.307989
1.810394	0.1052934	-0.01680396	0	0	0	0
1.82696	0.1053194	-0.01678504	0.001570944	0.001142116	0.04741305	0.0344705
1.843888	0.1053194	-0.01678504	0	0	-0.04690125	-0.03409841
