Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc Y
0.0165675	0.05133847	-0.03239213	-0.001140903	0.0007198557	2.536383E-05	-1.600337E-05
0.0332487	0.05133847	-0.03239213	0	0	-2.536389E-05	1.600341E-05
0.04981818	0.05133847	-0.03239213	0	0	0	0
0.0663845	0.05133847	-0.03239213	0	0	0	0
0.08295122	0.05133847	-0.03239213	0	0	0	0
0.09983729	0.05133847	-0.03239213	0	0	0	0
0.1247495	0.05133847	-0.03239213	0	0	0	0
0.1413178	0.05133847	-0.03239213	0	0	0	0
0.1580444	0.05133847	-0.03239213	0	0	0	0
0.174456	0.05133847	-0.03239213	0	0	0	0
0.1910227	0.05133847	-0.03239213	0	0	0	0
0.2075898	0.05133847	-0.03239213	0	0	0	0
0.2241561	0.05133847	-0.03239213	0	0	0	0
0.2410173	0.05133847	-0.03239213	0	0	0	0
0.2572868	0.05133847	-0.03239213	0	0	0	0
0.2948549	0.05133847	-0.03239213	0	0	0	0
0.311422	0.05133847	-0.03239213	0	0	0	0
0.3279892	0.05133847	-0.03239213	0	0	0	0
0.3450888	0.05133847	-0.03239213	0	0	0	0
0.361123	0.05133847	-0.03239213	0	0	0	0
0.3781093	0.05133847	-0.03239213	0	0	0	0
0.3946488	0.05133847	-0.03239213	0	0	0	0
0.4108243	0.05133847	-0.03239213	0	0	0	0
0.4336381	0.05133847	-0.03239213	0	0	0	0
0.4502573	0.05133847	-0.03239213	0	0	0	0
0.4667746	0.05133847	-0.03239213	0	0	0	0
0.484048	0.05133847	-0.03239213	0	0	0	0
0.5002255	0.05133847	-0.03239213	0	0	0	0
0.5164815	0.05133847	-0.03239213	0	0	0	0
0.533047	0.05133847	-0.03239213	0	0	0	0
0.5496137	0.05133847	-0.03239213	0	0	0	0
0.5661792	0.05133847	-0.03239213	0	0	0	0
0.6021664	0.05133847	-0.03239213	0	0	0	0
0.6187335	0.05133847	-0.03239213	0	0	0	0
0.6353006	0.05133847	-0.03239213	0	0	0	0
0.6518685	0.05133847	-0.03239213	0	0	0	0
