Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc Y
0.01656671	0.1197898	-0.1876299	7.230749	-11.32572	436.4625	-683.6428
0.03313382	0.1442367	-0.1937416	1.475628	-0.3689072	-173.6932	330.6835
0.04970054	0.17724	-0.198631	1.992145	-0.295133	15.58882	2.226552
0.06641647	0.2114656	-0.1998533	2.047486	-0.07312436	1.662741	6.670403
0.08283397	0.2444689	-0.198631	2.010253	0.07445364	-1.123732	4.454051
0.09940108	0.2493583	-0.1961863	0.295125	0.1475625	-51.99782	2.216454
0.1159654	0.2493583	-0.1961863	0	0	-8.907698	-4.453849
0.1325337	0.2505806	-0.1961863	0.07377692	8.993784E-07	2.226714	2.714479E-05
0.1490996	0.2505806	-0.1949639	-1.799014E-06	0.07378656	-2.226663	2.226873
0.1656671	0.2505806	-0.1925192	0	0.14756	5.429607E-05	2.226555
0.1822331	0.251803	-0.1912969	0.07378656	0.07378566	2.226953	-2.226583
0.1988013	0.251803	-0.1888522	1.798757E-06	0.147552	-2.226846	2.22629
0.2153669	0.251803	-0.1876299	0	0.07378919	-5.428764E-05	-2.22621
0.231934	0.251803	-0.1876299	0	0	0	-2.227084
0.2485007	0.2579147	-0.1888522	0.3689152	-0.07378305	11.1341	-2.22682
0.2650678	0.2640264	-0.1937416	0.3689066	-0.2951253	-0.0002599421	-6.680254
0.2819424	0.2738051	-0.198631	0.5794941	-0.289748	6.297152	0.1607969
0.2981996	0.2823616	-0.1998533	0.5263152	-0.07518854	-1.60507	6.475928
0.3149033	0.2835839	-0.2010757	0.07317974	-0.07317796	-13.74766	0.06099902
0.3313516	0.2860286	-0.2010757	0.1486267	9.059399E-07	2.27579	2.207375
0.3479006	0.2933627	-0.2047427	0.4431766	-0.2215883	8.926499	-6.715384
0.3644673	0.3019191	-0.2096321	0.5164791	-0.2951319	2.213526	-2.220809
0.3814935	0.3080308	-0.2120768	0.3589606	-0.1435836	-4.689034	4.511316
0.3975999	0.3080308	-0.2132991	0	-0.07589158	-10.83405	2.04306
0.4141639	0.3080308	-0.2132991	0	0	0	2.322948
0.4335385	0.3080308	-0.2132991	0	0	0	0
0.45029	0.3080308	-0.2132991	0	0	0	0
0.4666755	0.3080308	-0.2132991	0	0	0	0
0.4833855	0.3092531	-0.2132991	0.0731485	0	2.210222	0
0.4998077	0.3092531	-0.2132991	0	0	-2.207773	0
0.5163748	0.3092531	-0.2132991	0	0	0	0
0.5329424	0.3092531	-0.2132991	0	0	0	0
0.5495095	0.3092531	-0.2132991	0	0	0	0
0.5660754	0.3092531	-0.2132991	0	0	0	0
0.5826409	0.3092531	-0.2132991	0	0	0	0
0.5992056	0.3080308	-0.2132991	-0.07379007	0	-2.227273	0
0.6157747	0.3068085	-0.2132991	-0.0737725	0	0.0005304528	0
0.6324275	0.3068085	-0.2132991	0	0	2.220602	0
0.6489089	0.3043638	-0.2132991	-0.1483294	0	-4.476622	0
0.6655633	0.3019191	-0.2132991	-0.1467911	0	0.04642201	0
0.6820416	0.2982521	-0.2132991	-0.2225349	-9.042899E-07	-2.286075	-2.7293E-05
0.6989865	0.2958074	-0.2120768	-0.1442745	0.07213724	2.341501	2.158326
0.7153013	0.290918	-0.2108544	-0.299688	0.07492109	-4.672721	0.08370026
0.73211	0.2848063	-0.2096321	-0.3636043	0.07272174	-1.929632	-0.0663982
0.7483081	0.2750275	-0.2047427	-0.6037007	0.3018503	-7.274166	6.941875
0.7648728	0.25547	-0.1974086	-1.180672	0.4427522	-17.61057	4.300669
0.7814407	0.2383572	-0.1888522	-1.032892	0.5164455	4.460253	2.224194
0.7980082	0.2187997	-0.1790735	-1.180473	0.590237	-4.453878	2.226966
0.8146985	0.1943528	-0.1656277	-1.46474	0.8056067	-8.547367	6.475769
0.8314444	0.1674612	-0.1521819	-1.605858	0.8029284	-4.220527	-0.08009933
0.847706	0.145459	-0.1387361	-1.353018	0.8268444	7.660074	0.7245609
0.8642746	0.1124557	-0.1216233	-1.991911	1.032843	-19.46051	6.274653
0.8812432	0.1038993	-0.1167339	-0.5042512	0.2881435	44.35849	-22.20516
0.8974077	0.0904535	-0.1069551	-0.8318106	0.6049531	-9.886189	9.561745
0.9144852	0.08189708	-0.09962108	-0.5010344	0.4294578	9.950553	-5.279325
0.9306098	0.0770077	-0.0947317	-0.3032246	0.3032246	5.95775	-3.801965
0.9471082	0.07211833	-0.09106467	-0.2963538	0.2222654	0.210612	-2.481654
0.9636745	0.06967364	-0.08984232	-0.1475699	0.07378516	4.499769	-4.490586
0.9802495	0.06845129	-0.08861998	-0.07374623	0.07374623	2.227541	-0.00117442
0.9968088	0.06478426	-0.08495294	-0.2214494	0.2214494	-4.457722	4.457722
1.013373	0.06356191	-0.08373059	-0.07379392	0.07379392	4.45771	-4.45771
1.029942	0.05745019	-0.07639653	-0.368872	0.4426466	-8.905858	11.13248
1.046749	0.05133847	-0.06784012	-0.36364	0.5090956	0.1567608	1.990939
