Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc Y
0.01656592	-0.04428681	-0.3428645	0.000567472	0.004393317	-7.272879E-06	-5.630597E-05
0.03862409	-0.04428681	-0.3428645	0	0	7.273396E-06	5.630997E-05
0.05519436	-0.04428681	-0.3428645	0	0	0	0
0.07186568	-0.04428681	-0.3428645	0	0	0	0
0.08856108	-0.04428681	-0.3428645	0	0	0	0
0.105007	-0.04428681	-0.3428645	0	0	0	0
0.1215832	-0.04428681	-0.3428645	0	0	0	0
0.1381361	-0.04428681	-0.3428645	0	0	0	0
0.1547016	-0.04428681	-0.3428645	0	0	0	0
0.1712695	-0.04428681	-0.3428645	0	0	0	0
0.1881331	-0.04428681	-0.3428645	0	0	0	0
0.2046556	-0.04428681	-0.3428645	0	0	0	0
0.2209693	-0.04428681	-0.3428645	0	0	0	0
0.237536	-0.04428681	-0.3428645	0	0	0	0
0.2541031	-0.04428681	-0.3428645	0	0	0	0
0.2707704	-0.04431308	-0.3428426	-0.001575732	0.001314227	-0.04741258	0.03954411
0.2872365	-0.04431308	-0.3428426	0	0	0.04755718	-0.0396647
0.3040172	-0.04431308	-0.3428426	0	0	0	0
0.3203695	-0.04431308	-0.3428426	0	0	0	0
0.3370365	-0.04431308	-0.3428426	0	0	0	0
0.3535022	-0.04431308	-0.3428426	0	0	0	0
0.3700681	-0.04431308	-0.3428426	0	0	0	0
0.3866356	-0.04431308	-0.3428426	0	0	0	0
0.4032023	-0.04431308	-0.3428426	0	0	0	0
0.4197686	-0.04431308	-0.3428426	0	0	0	0
0.4366342	-0.04431308	-0.3428426	0	0	0	0
0.4531282	-0.04431308	-0.3428426	0	0	0	0
0.4696645	-0.04431308	-0.3428426	0	0	0	0
0.4860359	-0.04431308	-0.3428426	0	0	0	0
0.5026014	-0.04431308	-0.3428426	0	0	0	0
0.5192996	-0.04428681	-0.3428207	0.001572824	0.001313587	0.04728347	0.03949008
0.5357921	-0.04428681	-0.3428207	0	0	-0.04738753	-0.03957699
0.5523027	-0.04428681	-0.3428207	0	0	0	0
0.5688671	-0.04428681	-0.3428207	0	0	0	0
0.5859407	-0.04428681	-0.3428207	0	0	0	0
0.6025117	-0.04428681	-0.3428207	0	0	0	0
0.6189935	-0.04431308	-0.3427988	-0.001593471	0.001329023	-0.04820977	0.040209
0.6351982	-0.04431308	-0.3427988	0	0	0.04875008	-0.04065964
0.6517831	-0.04431308	-0.3427988	0	0	0	0
0.6682697	-0.04431308	-0.3427988	0	0	0	0
0.6848471	-0.04431308	-0.3427988	0	0	0	0
0.7014023	-0.04431308	-0.3427988	0	0	0	0
0.7179678	-0.04431308	-0.3427988	0	0	0	0
0.7345345	-0.04431308	-0.3427988	0	0	0	0
0.7960856	-0.04431308	-0.3427988	0	0	0	0
0.8132511	-0.04431308	-0.3427988	0	0	0	0
0.829223	-0.04431308	-0.3427988	0	0	0	0
0.8457877	-0.04431308	-0.3427988	0	0	0	0
0.8731683	-0.04431308	-0.3427988	0	0	0	0
0.8904499	-0.04431308	-0.3427988	0	0	0	0
0.9078373	-0.04431308	-0.3428426	0	-0.002521322	0	-0.07272559
0.9235857	-0.04431308	-0.3428426	0	0	0	0.07609065
0.9401509	-0.04431308	-0.3428426	0	0	0	0
0.9567227	-0.04426055	-0.3428864	0.003169633	-0.002643609	0.0956525	-0.07977825
0.9784619	-0.04426055	-0.3428864	0	0	-0.08273428	0.06900391
0.9950314	-0.04426055	-0.3428864	0	0	0	0
1.011596	-0.04420802	-0.3429302	0.003171216	-0.002644741	0.09570816	-0.07981902
1.028165	-0.04420802	-0.3429302	0	0	-0.09571058	0.07982104
1.04473	-0.04420802	-0.3429302	0	0	0	0
1.061297	-0.04402417	-0.3431713	0.01109788	-0.01455011	0.3349611	-0.439158
1.077864	-0.04402417	-0.3431713	0	0	-0.3349455	0.4391375
1.094432	-0.04402417	-0.3431713	0	0	0	0
1.110996	-0.04370899	-0.3434781	0.01902729	-0.01852218	0.5742759	-0.5590308
1.12797	-0.04370899	-0.3434781	0	0	-0.5673356	0.5522748
1.14413	-0.04370899	-0.3434781	0	0	0	0
1.1607	-0.04352513	-0.3436753	0.0110964	-0.0119051	0.3390285	-0.363737
1.177266	-0.04352513	-0.3436753	0	0	-0.3348803	0.3592864
1.193833	-0.04352513	-0.3436753	0	0	0	0
1.210397	-0.04342006	-0.3438507	0.006342793	-0.01058819	0.191441	-0.3195775
1.226968	-0.04342006	-0.3438507	0	0	-0.1914204	0.319543
1.244373	-0.04342006	-0.3438507	0	0	0	0
1.260098	-0.043315	-0.3439384	0.006681503	-0.005575856	0.2016786	-0.1683051
1.276664	-0.043315	-0.3439384	0	0	-0.2069158	0.1726756
1.293247	-0.043315	-0.3439384	0	0	0	0
1.310279	-0.043315	-0.3439822	0	-0.002573856	0	-0.07656869
1.326365	-0.043315	-0.3439822	0	0	0	0.07771688
1.343312	-0.043315	-0.3439822	0	0	0	0
1.360384	-0.04334126	-0.3439603	-0.001538606	0.001283081	-0.04522753	0.03771634
1.376064	-0.04334126	-0.3439603	0	0	0.04697844	-0.03917646
1.392631	-0.04334126	-0.3439603	0	0	0	0
1.409197	-0.04334126	-0.3439603	0	0	0	0
1.425762	-0.04334126	-0.3439603	0	0	0	0
1.44233	-0.04334126	-0.3439603	0	0	0	0
1.458895	-0.04334126	-0.3439603	0	0	0	0
1.475462	-0.04334126	-0.3439603	0	0	0	0
1.49203	-0.04334126	-0.3439603	0	0	0	0
1.508598	-0.043315	-0.3439822	0.001585458	-0.001322152	0.04784783	-0.03990147
1.525496	-0.043315	-0.3439822	0	0	-0.04737554	0.03950762
1.542491	-0.043315	-0.3439822	0	0	0	0
1.561645	-0.04328873	-0.3440042	0.001371363	-0.001145169	0.037936	-0.03167879
1.578216	-0.04328873	-0.3440042	0	0	-0.03838703	0.03205543
1.595113	-0.04328873	-0.3440042	0	0	0	0
1.611349	-0.04328873	-0.3440042	0	0	0	0
1.627914	-0.04328873	-0.3440042	0	0	0	0
1.644482	-0.04328873	-0.3440042	0	0	0	0
