Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc Y
0.0165675	-0.06912652	-0.3439384	0.0008857368	0.004406976	-1.13516E-05	-5.647976E-05
0.04028522	-0.055653	-0.3328812	0.5680786	0.4661987	-0.007269804	-0.00591886
0.05705602	-0.055653	-0.3328812	0	0	-14.03061	-11.51434
0.0737913	-0.05213692	-0.3301824	0.2100998	0.1612647	6.270499	4.812998
0.09055184	-0.05213692	-0.3301824	0	0	-6.272419	-4.814472
0.1070578	-0.05213692	-0.3301824	0	0	0	0
0.1241116	-0.05195321	-0.3303347	0.01077251	-0.008928197	0.3209949	-0.2660387
0.1406807	-0.05195321	-0.3303347	0	0	-0.3203918	0.2655389
0.1572486	-0.05195321	-0.3303347	0	0	0	0
0.1738145	-0.05184823	-0.3304652	0.006337252	-0.007877883	0.1912623	-0.2377596
0.1903816	-0.05184823	-0.3304652	0	0	-0.1912669	0.2377652
0.2069479	-0.05184823	-0.3304652	0	0	0	0
0.2235135	-0.05176949	-0.330661	0.004752882	-0.011818	0.1434536	-0.356696
0.2400818	-0.05176949	-0.330661	0	0	-0.143445	0.3566748
0.2570507	-0.05176949	-0.330661	0	0	0	0
0.2732128	-0.05174325	-0.3307262	0.001623841	-0.004036437	0.04901263	-0.1218324
0.2897807	-0.05174325	-0.3307262	0	0	-0.04961324	0.1233254
0.3065906	-0.05174325	-0.3307262	0	0	0	0
0.3229114	-0.05174325	-0.3307262	0	0	0	0
0.3394813	-0.05174325	-0.3307262	0	0	0	0
0.3561135	-0.05174325	-0.3307262	0	0	0	0
0.3726123	-0.051717	-0.3307915	0.001590701	-0.003955868	0.04801243	-0.1194007
0.3896488	-0.051717	-0.3307915	0	0	-0.04743368	0.1179614
0.4057477	-0.051717	-0.3307915	0	0	0	0
0.4226709	-0.051717	-0.330922	0	-0.007713332	0	-0.2335809
0.4388811	-0.051717	-0.330922	0	0	0	0.2327959
0.4554479	-0.051717	-0.330922	0	0	0	0
0.4720114	-0.05169075	-0.3309873	0.001584707	-0.003940401	0.04783257	-0.1189365
0.488695	-0.05169075	-0.3309873	0	0	-0.0476645	0.1185186
