Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc Y
0.01637447	350	265	21374.74	16183.73	1305370	988351.6
0.03294237	350	265	0	0	-648852.5	-491274.1
0.04950869	350	265	0	0	0	0
0.06607501	350	265	0	0	0	0
0.08264173	350	265	0	0	0	0
0.09920805	350	265	0	0	0	0
0.1157736	350	265	0	0	0	0
0.1323407	350	265	0	0	0	0
0.1492548	352	265	118.2445	0	3531.669	0
0.1654741	354	264	123.3096	-61.65482	152.8694	-1860.804
0.18204	356	264	120.7298	0	-78.68886	1880.566
0.1989143	359	264	177.7859	0	1706.217	0
0.2151735	363	264	246.0147	0	2059.211	0
0.2317402	369	265	362.1721	60.36202	3538.591	1838.853
0.2483077	375	266	362.1548	60.35914	-0.5213026	-0.08680702
0.2648748	388	270	784.6879	241.4424	12752.02	5465.082
0.2818674	400	274	706.1873	235.3958	-2339.129	-180.1755
0.2980098	413	279	805.3356	309.7445	2992.254	2243.812
0.3147079	422	285	538.9808	359.3206	-8110.554	1509.601
0.331266	431	291	543.5432	362.3622	137.1888	91.4595
0.3477067	440	298	547.4193	425.7706	117.4618	1921.537
0.3647203	447	304	411.4361	352.6595	-4064.739	-2185.398
0.380839	455	312	496.3187	496.3187	2561.933	4335.932
0.3979603	463	319	467.253	408.8464	-874.418	-2631.536
0.4141351	471	327	494.5986	494.5986	821.2844	2575.444
0.4308715	483	339	716.998	716.998	6757.566	6757.566
0.4471074	498	350	923.8776	677.5102	6274.331	-1197.604
0.4637862	512	363	839.3884	779.4321	-2566.91	3096.545
0.4802409	527	376	911.5988	790.0523	2179.382	320.5277
0.4968999	543	388	960.4371	720.3279	1474.868	-2105.607
0.513375	560	400	1031.859	728.3714	2155.549	242.7558
0.5299461	583	416	1387.963	965.5396	10775.95	7176.877
0.5465081	602	427	1147.205	664.1716	-7266.395	-9095.698
0.5632374	631	443	1733.48	956.4027	17610.42	8777.993
0.5796438	683	467	3169.491	1462.842	43337.2	15283.77
0.5962082	715	480	1931.857	784.8171	-37537.29	-20564.42
0.6127769	738	489	1388.163	543.1942	-16409.44	-7292.509
0.6293424	753	494	905.4963	301.8321	-14567.04	-7284.387
0.6459079	761	496	482.9313	120.7328	-12754.37	-5466.157
0.6626029	765	497	239.5924	59.89809	-7316.15	-1829.037
0.6790776	765	497	0	0	-7223.22	-1805.805
0.6956061	765	497	0	0	0	0
0.7128873	767	496	115.7325	-57.86624	3423.059	-1711.53
0.728741	770	486	189.2295	-630.7651	2218.109	-17289.84
0.7453077	776	476	362.1725	-603.6207	5334.377	837.2599
0.7618737	779	468	181.0947	-482.9192	-5465.242	3642.983
0.7784396	779	455	0	-784.7437	-5465.881	-9109.802
0.7952582	775	444	-237.8322	-654.0385	-7124.029	3915.146
0.8115809	768	433	-428.8498	-673.9068	-5763.731	-599.5039
0.8281413	759	423	-543.4659	-603.851	-3485.563	2130.449
0.8447088	750	417	-543.2313	-362.1542	7.082221	7295.868
0.8612732	738	409	-724.4465	-482.9644	-5469.509	-3646.34
0.8778952	724	402	-842.2569	-421.1284	-3549.962	1863.292
0.8944745	711	392	-784.1089	-603.1607	1751.376	-5482.679
0.9109741	700	383	-666.6837	-545.4684	3549.852	1744.08
0.9275625	692	376	-482.2633	-421.9804	5573.628	3732.107
0.9441075	685	370	-423.0886	-362.6474	1785.95	1790.729
0.9606727	681	365	-241.4709	-301.8386	5485.259	1836.56
0.9772406	679	362	-120.7155	-181.0732	3644.563	3644.864
0.9942723	677	360	-117.4279	-117.4279	97.84561	1894.227
1.010372	675	355	-124.2292	-310.573	-205.2855	-5829.739
1.027095	671	345	-239.191	-597.9775	-3502.551	-8756.377
1.043505	669	339	-121.8743	-365.6229	3540.74	7012.704
1.06058	666	334	-175.6899	-292.8165	-1607.114	2174.24
1.076641	665	330	-62.26421	-249.0568	3423.023	1320.604
1.093208	663	327	-120.7237	-181.0856	-1791.734	2083.261
1.109775	661	323	-120.7211	-241.4422	0.07874883	-1821.6
1.126342	660	321	-60.36186	-120.7237	1821.678	3643.357
1.142908	660	321	0	0	1821.803	3643.606
1.159826	660	321	0	0	0	0
1.176041	660	321	0	0	0	0
1.192608	660	321	0	0	0	0
1.209174	660	323	0	120.7298	0	3643.79
1.225742	660	323	0	0	0	-3643.698
1.242308	660	324	0	60.36186	0	1821.711
1.259309	660	324	0	0	0	-1798.253
1.275441	660	324	0	0	0	0
1.292327	660	325	0	59.22318	0	1793.657
1.308575	660	326	0	61.54563	0	70.09402
1.325865	660	327	0	57.83731	0	-110.5708
1.34187	660	327	0	0	0	-1737.103
1.358275	660	327	0	0	0	0
1.37484	660	327	0	0	0	0
1.391408	660	328	0	60.35925	0	1821.724
1.408249	660	329	0	59.37576	0	-29.43756
1.424611	660	331	0	122.2384	0	1893.26
1.441301	660	332	0	59.9152	0	-1885.625
1.457674	660	332	0	0	0	-1812.169
1.47424	661	332	60.3649	0	1832.662	0
1.490807	661	333	0	60.36055	-1821.895	1821.764
1.507375	661	335	0	120.715	0	1821.469
1.523942	662	336	60.35925	60.35925	1821.593	-1821.488
1.540731	662	336	0	0	-1809.543	-1809.543
1.557075	662	336	0	0	0	0
1.573641	662	336	0	0	0	0
1.590687	662	336	0	0	0	0
1.606775	662	336	0	0	0	0
1.623341	662	336	0	0	0	0
1.639907	662	336	0	0	0	0
